Datasheet 3: Test Dataset,,,
,,,
smiles,DD2,,
CC(C)[C@H]1NC(=O)C2(CCCC2)NC(=O)C[C@@H](C(=O)NCCN2CCOCC2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
CC(C)C[C@H]1COc2ccccc2C(=O)N[C@H](C(=O)NCCc2cnccn2)CC(=O)N2CCC[C@@H]2C(=O)N1,0,,
O=C1C[C@@H](C(=O)NCCc2ccc(F)cc2)NC(=O)c2ccccc2OCCNC(=O)[C@H](Cc2ccc(O)cc2)N1,0,,
COc1cccc(CCCNC(=O)[C@@H]2CC(=O)NC(C)(C)C(=O)N[C@H](Cc3ccccc3)COc3ccccc3C(=O)N2)c1,0,,
CN1CCOc2ccccc2C(=O)N[C@H](C(=O)NCc2cccc(CN3CCOCC3)c2)CC(=O)N[C@@H](Cc2ccccc2)C1=O,0,,
COc1cccc(CCCNC(=O)[C@@H]2CCC(=O)N[C@H](C(C)C)C(=O)N(C)CCOc3ccccc3C(=O)N2)c1,0,,
CC(C)[C@H]1NC(=O)C(C)(C)NC(=O)C[C@@H](C(=O)NCCN2CCOCC2)NC(=O)c2ccccc2OCCNC1=O,0,,
Cc1nn(C)c(C)c1CCNC(=O)[C@@H]1CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C)COc2ccccc2C(=O)N1,0,,
COc1ccc(CCCNC(=O)[C@@H]2CC(=O)NC3(CCCC3)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C)COc3ccccc3C(=O)N2)cc1OC,0,,
CC(C)[C@H]1NC(=O)C2(CCCC2)NC(=O)C[C@@H](C(=O)NCc2cccc(CN3CCOCC3)c2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
O=C1N[C@@H]2CCN(CC(=O)N3CCCCC3)C[C@@H]2C/C=C/CC2(CCOCC2)C(=O)N[C@H]1Cc1ccccc1,0,,
CC(C)C[C@H]1NC(=O)C[C@@H](C(=O)N2CCCN(C)CC2)NC(=O)c2ccccc2OCCN(C)C1=O,0,,
C[C@@H](O)[C@@H]1NC(=O)C[C@@H](C(=O)NCCN2CCCC2=O)NC(=O)c2ccccc2OC[C@@H](Cc2ccccc2)NC1=O,0,,
O=C1C[C@@H](C(=O)N2CCC[C@@H]2CO)NC(=O)c2ccccc2OCCNC(=O)[C@H](Cc2c[nH]cn2)N1,0,,
COc1ccc(CCCNC(=O)[C@@H]2CC(=O)N[C@@H]([C@@H](C)O)C(=O)NCCOc3ccccc3C(=O)N2)cc1OC,0,,
CC(C)C[C@@H]1NC(=O)CC[C@@H](C(=O)NCc2ccc(CN3CCCCC3)cc2)NC(=O)c2ccccc2OCCCNC1=O,0,,
CC(C)C[C@@H]1NC(=O)C[C@@H](C(=O)NCC2(c3cccc(F)c3)CCOCC2)NC(=O)c2ccccc2OC[C@H]2CCCN2C1=O,0,,
CC(C)[C@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)C[C@@H](C(=O)NCCN2CCCCC2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
CC(C)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)C[C@@H](C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OC[C@H](C)NC1=O,0,,
